"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000100138",3.79146788764386,1.25019224749023,1.14252504492275,16.4281326170519,0.000270817252784341,0.00547508698470132,"SNU13"
"ENSG00000100412",12.8430044153434,1.24280680280122,0.694436075139491,12.7852905184709,0.00167382264521106,0.0177781428584423,"ACO2"
"ENSG00000173064",13.8651143432178,1.24227774613897,0.531972731869345,11.9480684706218,0.00254395776535447,0.0231129283533401,"HECTD4"
"ENSG00000162849",18.1246719293629,1.23977467571777,0.706462309707762,66.7649476415232,3.17816051223116e-15,1.69014576040453e-11,"KIF26B"
"ENSG00000172809",16.6389579544919,1.23561181444379,1.40401657849962,22.3995401642825,1.36773403690121e-05,0.000591434751849963,"RPL38"
"ENSG00000110321",29.5411109882919,1.23291466224142,0.397288209596399,68.2631508387316,1.50260606239013e-15,1.19862885596861e-11,"EIF4G2"
"ENSG00000070961",2.36598053135551,1.23233466626851,1.07096427472394,12.4295450466639,0.00199967117721459,0.0198667294263121,"ATP2B1"
"ENSG00000175467",3.60782904285373,1.22582370494399,0.677154743722855,14.8414976668405,0.000598700650555389,0.00922866683957553,"SART1"
"ENSG00000196975",5.128962643567,1.21468845798099,1.00354510585848,10.2973336935599,0.00580714137785271,0.0386190635857699,"ANXA4"
"ENSG00000224934",3.97541288540926,1.20803985872599,1.06190592512361,12.2022323176894,0.00224036571941773,0.0212123410608846,NA
"ENSG00000165406",5.40370110597391,1.20677075121948,0.979413861490061,23.6108569552262,7.46392996416972e-06,0.000362888486540658,"MARCHF8"
"ENSG00000141298",20.1570789563065,1.20351467551295,0.910769752991129,26.93019091755,1.41965672465702e-06,9.81101313887596e-05,"SSH2"
"ENSG00000105639",20.1517263240955,1.20342381306382,0.652521729374288,48.982497588626,2.30986072064189e-11,1.41736607450465e-08,"JAK3"
"ENSG00000023228",33.0841385855387,1.20336887824037,0.900696377456015,60.9485886366234,5.82347395762475e-14,1.54846172533242e-10,"NDUFS1"
"ENSG00000140836",26.1950345739255,1.2017806500378,0.700417337365427,28.3211036082585,7.08191142696698e-07,5.68221785521643e-05,"ZFHX3"
"ENSG00000139433",5.37009575220737,1.19820020120659,1.1557984779428,16.5140443844413,0.000259430375926003,0.00531998999681679,"GLTP"
"ENSG00000080819",3.55654940886779,1.1950684792056,1.22125856462797,17.4391238446547,0.000163358739065062,0.00387063031695764,"CPOX"
"ENSG00000172009",19.2644999091144,1.19431929014583,0.673155440917379,53.9018505796111,1.97406689034385e-12,2.62452193071215e-09,"THOP1"
"ENSG00000169375",6.97945773623234,1.19037725924031,0.903276352986077,18.4305887554598,9.95058245094162e-05,0.00267258573101553,"SIN3A"
"ENSG00000132639",3.64428341107249,1.18934634851631,0.874937031350391,9.84404191365616,0.00728439451422628,0.0437557342168547,"SNAP25"
"ENSG00000161016",6.02370813168537,1.18420487626329,0.936522971930191,18.0563645944538,0.000119980383758132,0.0030873346716415,"RPL8"
"ENSG00000148634",19.3576880824338,1.18334096708878,1.08005217215305,19.1630341965372,6.89922003426533e-05,0.00206510612432775,"HERC4"
"ENSG00000158373",15.8554033648217,1.17738077187885,2.13773323966752,13.0058982605363,0.00149901188650782,0.016596277333342,"H2BC5"
"ENSG00000133030",7.87159305034734,1.17573993510366,0.529312958544042,9.78031721308071,0.00752022962279555,0.0447177575110251,"MPRIP"
"ENSG00000203799",2.12954244745193,1.17465218707087,0.923711726504269,11.4971654708497,0.00318729483702235,0.0266696304195239,"CCDC162P"
"ENSG00000198858",18.0715084451474,1.17402317351135,0.87698994111884,40.9285511538579,1.29562118543884e-09,3.22974068632677e-07,"R3HDM4"
"ENSG00000204525",4.50489067563229,1.16805057882135,0.982243320908191,14.5321001985403,0.000698867004459605,0.0102291047606867,"HLA-C"
"ENSG00000099977",2.77640140383725,1.16212137066264,1.038653310385,9.89985257204819,0.00708393109453245,0.0429708135606918,"DDT"
