"genes","value","phenotype","symbol"
"ENSG00000129472",-0.411635316209137,"HER2","RAB2B"
"ENSG00000008311",-0.412034374636285,"LumB","AASS"
"ENSG00000232629",-0.413818802650068,"LumB","HLA-DQB2"
"ENSG00000173821",-0.414463832936121,"HER2","RNF213"
"ENSG00000113296",-0.414719208230031,"LumB","THBS4"
"ENSG00000113248",-0.414887757646829,"LumB","PCDHB15"
"ENSG00000118193",-0.414940963518999,"HER2","KIF14"
"ENSG00000054654",-0.415116754315603,"LumB","SYNE2"
"ENSG00000099282",-0.415270202445691,"LumB","TSPAN15"
"ENSG00000198589",-0.415617616643468,"LumB","LRBA"
"ENSG00000140577",-0.41575314554883,"HER2","CRTC3"
"ENSG00000172733",-0.415860798304928,"LumB","PURG"
"ENSG00000205352",-0.415970840791805,"HER2","PRR13"
"ENSG00000161642",-0.416054824005601,"LumB","ZNF385A"
"ENSG00000124839",-0.416440776713581,"HER2","RAB17"
"ENSG00000157060",-0.416522580695955,"HER2","SHCBP1L"
"ENSG00000227741",-0.417111341127164,"HER2","LOC729867"
"ENSG00000133657",-0.417262572078953,"LumB","ATP13A3"
"ENSG00000107779",-0.417408986472755,"HER2","BMPR1A"
"ENSG00000204843",-0.417529968515198,"LumB","DCTN1"
"ENSG00000170185",-0.418632618750962,"HER2","USP38"
"ENSG00000290831",-0.419046333349665,"HER2","NSUN5P2"
"ENSG00000128973",-0.419054430456538,"LumB","CLN6"
"ENSG00000197969",-0.419725241568027,"LumB","VPS13A"
"ENSG00000085978",-0.419937939947243,"HER2","ATG16L1"
"ENSG00000248339",-0.42093673809061,"LumB","LINC02504"
"ENSG00000105974",-0.420953746977049,"HER2","CAV1"
"ENSG00000162735",-0.421029852336516,"TN","PEX19"
"ENSG00000118194",-0.421223278092243,"HER2","TNNT2"
"ENSG00000151240",-0.421850047991476,"HER2","DIP2C"
"ENSG00000073282",-0.422084176464974,"LumB","TP63"
"ENSG00000152430",-0.422164060261048,"HER2","BOLL"
"ENSG00000104321",-0.422218287655834,"HER2","TRPA1"
"ENSG00000041353",-0.42231211553789,"HER2","RAB27B"
"ENSG00000227467",-0.422324978161941,"HER2","LINC01537"
"ENSG00000079332",-0.422624169714994,"LumB","SAR1A"
"ENSG00000260097",-0.422653143072456,"TN","SPDYE6"
"ENSG00000134453",-0.422677269355639,"LumB","RBM17"
"ENSG00000109323",-0.422949212255078,"HER2","MANBA"
"ENSG00000077782",-0.423895366789052,"LumB","FGFR1"
"ENSG00000183117",-0.42445965808767,"LumB","CSMD1"
"ENSG00000070444",-0.424518276205111,"HER2","MNT"
"ENSG00000137766",-0.424736036897945,"LumB","UNC13C"
"ENSG00000162946",-0.425010129617508,"LumB","DISC1"
"ENSG00000151148",-0.425237817919305,"LumB","UBE3B"
"ENSG00000159692",-0.425606247473183,"HER2","CTBP1"
"ENSG00000198722",-0.426482150616498,"HER2","UNC13B"
"ENSG00000270800",-0.427290206679406,"LumB","RPS10-NUDT3"
"ENSG00000197496",-0.427509947626092,"HER2","SLC2A10"
"ENSG00000165060",-0.427729907504075,"LumB","FXN"
"ENSG00000180198",-0.428670921175633,"HER2","RCC1"
"ENSG00000090447",-0.428718970380922,"HER2","TFAP4"
"ENSG00000114353",-0.428720561892576,"HER2","GNAI2"
"ENSG00000214575",-0.428925765742686,"HER2","CPEB1"
"ENSG00000240694",-0.429008356485781,"LumB","PNMA2"
"ENSG00000137699",-0.429460424018235,"HER2","TRIM29"
"ENSG00000125484",-0.4295085748919,"HER2","GTF3C4"
"ENSG00000180357",-0.429974311043486,"LumB","ZNF609"
"ENSG00000143947",-0.430290871164927,"TN","RPS27A"
"ENSG00000072803",-0.430552968014033,"LumB","FBXW11"
"ENSG00000198034",-0.430686236267863,"HER2","RPS4X"
"ENSG00000145246",-0.430783489561481,"HER2","ATP10D"
"ENSG00000248118",-0.430787284949534,"HER2","LINC01019"
"ENSG00000169436",-0.430977147023134,"HER2","COL22A1"
"ENSG00000161048",-0.431058067055618,"LumB","NAPEPLD"
"ENSG00000198911",-0.43128933714796,"LumB","SREBF2"
"ENSG00000100300",-0.431366734056428,"HER2","TSPO"
"ENSG00000264522",-0.431761978425328,"LumB","OTUD7B"
"ENSG00000198467",-0.43195549009571,"HER2","TPM2"
"ENSG00000147459",-0.43222919932844,"HER2","DOCK5"
"ENSG00000174099",-0.432447635710044,"HER2","MSRB3"
"ENSG00000112130",-0.432591387234492,"HER2","RNF8"
"ENSG00000167555",-0.432669232585994,"HER2","ZNF528"
"ENSG00000183196",-0.432744304461572,"HER2","CHST6"
"ENSG00000127955",-0.43327663667478,"LumB","GNAI1"
"ENSG00000123415",-0.433397610351683,"LumB","SMUG1"
"ENSG00000267665",-0.433438212952265,"HER2","LOC400622"
"ENSG00000254101",-0.433440279787471,"LumB","LINC02055"
"ENSG00000197324",-0.433740494356782,"HER2","LRP10"
"ENSG00000129250",-0.434176246747624,"HER2","KIF1C"
"ENSG00000174738",-0.434376472077673,"HER2","NR1D2"
"ENSG00000163602",-0.434410644043159,"HER2","RYBP"
"ENSG00000167912",-0.434447722229936,"LumB","TOX-DT"
"ENSG00000173933",-0.434802752416469,"LumB","RBM4"
"ENSG00000119041",-0.435344140334509,"LumB","GTF3C3"
"ENSG00000154134",-0.435368659323821,"HER2","ROBO3"
"ENSG00000137145",-0.435840712500966,"HER2","DENND4C"
"ENSG00000116221",-0.435853763640019,"HER2","MRPL37"
"ENSG00000134438",-0.436441980682571,"LumB","RAX"
"ENSG00000198765",-0.436607829508712,"LumB","SYCP1"
"ENSG00000018869",-0.437036249145451,"HER2","ZNF582"
"ENSG00000145685",-0.437223256436374,"HER2","LHFPL2"
"ENSG00000139112",-0.437264914559794,"HER2","GABARAPL1"
"ENSG00000125834",-0.437786299245189,"LumB","STK35"
"ENSG00000290696",-0.437866397103598,"HER2","POM121L9P"
"ENSG00000173540",-0.43820797647356,"HER2","GMPPB"
"ENSG00000152620",-0.43840123304661,"LumB","NADK2"
"ENSG00000054116",-0.438442474093815,"LumB","TRAPPC3"
"ENSG00000165244",-0.438715509563707,"HER2","ZNF367"
"ENSG00000163681",-0.438744850432673,"LumB","SLMAP"
"ENSG00000135114",-0.43885955944804,"LumB","OASL"
"ENSG00000170855",-0.439104234395757,"HER2","TRIAP1"
"ENSG00000156886",-0.439152315865897,"LumB","ITGAD"
"ENSG00000167554",-0.439164111283896,"LumB","ZNF610"
"ENSG00000145451",-0.43917866793652,"LumB","GLRA3"
"ENSG00000165097",-0.440759608661753,"LumB","KDM1B"
"ENSG00000101639",-0.440928407560181,"HER2","CEP192"
"ENSG00000068903",-0.441872320914312,"LumB","SIRT2"
"ENSG00000205085",-0.442181049327992,"HER2","GARIN1A"
"ENSG00000105141",-0.442394027183903,"HER2","CASP14"
"ENSG00000082175",-0.442516680730925,"LumB","PGR"
"ENSG00000117054",-0.442558895524625,"HER2","ACADM"
"ENSG00000218819",-0.442644382497467,"LumB","TDRD15"
"ENSG00000251002",-0.442834879055158,"LumB","TRD-AS1"
"ENSG00000103194",-0.44363332123627,"HER2","USP10"
"ENSG00000166847",-0.443728581956416,"LumB","DCTN5"
"ENSG00000160593",-0.443791444069752,"LumB","JAML"
"ENSG00000198945",-0.444412782101547,"LumB","L3MBTL3"
"ENSG00000196639",-0.44453911640284,"HER2","HRH1"
"ENSG00000238098",-0.4446178746607,"HER2","ABCA17P"
"ENSG00000162772",-0.445886866936778,"HER2","ATF3"
"ENSG00000196371",-0.445906450958648,"LumB","FUT4"
"ENSG00000078403",-0.446048358713104,"HER2","MLLT10"
